,genes
832,Mtss1
833,Rgs20
834,Cgref1
835,Gprin3
836,Sel1l3
837,Gnal
838,A330070K13Rik
839,Hdac9
840,Map3k5
841,LOC102640573
842,Gulp1
843,Rassf2
844,Nos1
845,Rimbp2
846,Lrrc55
847,Hpse
848,Prdm8
849,Myh4
850,Spata2l
851,Runx2
852,Epb4.1l4a
853,Rxrg
854,LOC102633724
855,Slitrk1
856,Vat1
857,Nos1ap
858,Pacsin3
859,Nr4a3
860,Bcar3
861,1700019D03Rik
862,Cav2
863,Steap2
864,Tmsb10
865,Zdbf2
866,Rnf152
867,Tmem150c
868,Miat
869,Slc24a4
870,Tgfb3
871,Mfsd4
872,Cdh11
873,Rnd3
874,Frmd5
875,Rbfox1
876,Hunk
877,Ppp1r14c
878,Fbxo32
879,Rph3a
880,Sema6d
881,Zfp608
882,Timp2
883,Sult2b1
884,Stk32a
885,6530403H02Rik
886,Robo3
887,Bend4
888,Sowahb
889,Diras2
890,Csmd3
891,Tmem145
892,Kcnh1
893,Cdh20
894,5330416C01Rik
895,Vipr1
896,Peak1
897,Kcnab3
898,LOC102635502
899,A230070E04Rik
900,Sla
901,Pvrl1
902,Elavl2
903,Herc6
904,Fras1
905,Ptgs2
906,Adamts3
907,Fam19a5
908,Trpc3
909,Hsd11b1
910,LOC105242710
911,Cbln1
912,Robo1
913,Chsy3
914,Pradc1
915,Cxx1a
916,Nr4a1
917,Wbscr17
918,Nmbr
919,Dclk3
920,Pxdn
921,Serpina3n
922,Ell2
923,LOC105245838
924,Gabrb2
925,Car12
926,Crispld1
927,Glra3
928,Tenm4
929,Gfpt2
930,Sntb2
931,Hapln4
932,Rln1
933,Ptger3
934,Asap2
935,Optn
936,9330182L06Rik
937,St8sia1
938,1500009L16Rik
939,Tnnt2
940,St6gal2
941,Sema4a
942,Baiap2l2
943,Deptor
944,Fgf10
945,Wnt10a
946,Slc35f3
947,Sstr4
948,Grip1
949,Pvt1
950,B3galt2
951,Btbd3
952,Cd83
953,Kcnn2
954,Ecel1
955,Neu2
956,Prss22
957,Sgcz
958,Tspan17
959,1700016K19Rik
960,Gpr12
961,Mchr1
962,Kctd1
963,A930029G22Rik
964,9330158H04Rik
965,B230216N24Rik
966,Kcnd3
967,Ptgfrn
968,Gap43
969,Fmn1
970,LOC100503338
971,Crhr1
972,Yap1
973,Gnb4
974,Kcna1
975,Cxxc4
976,Ddn
977,Abracl
978,Slc6a7
979,Shb
980,Sept9
981,Ptpn3
982,Nnmt
983,Adra1d
984,LOC105245960
985,Lrrtm4
986,Sgpp2
987,Atf5
988,Spock1
989,Vav2
990,Oprl1
991,Stac
992,Slc36a1
993,Tspan12
994,Tle1
995,Ifit1
996,AW551984
997,Cbfb
998,Arhgap12
999,Pde9a
1000,Isoc1
1001,6430573F11Rik
1002,Ctxn2
1003,Clstn3
1004,Klk8
1005,Fgf9
1006,Elavl4
1007,Orai2
1008,Fhod3
1009,Cdh22
1010,Mgat5b
1011,Otx1
1012,March3
1013,Sfrp1
1014,P2rx2
1015,Ypel1
1016,Camk1
1017,Gpr26
1018,Syt10
1019,Dusp5
1020,Angpt1
1021,Acbd4
1022,Srrm4
1023,Nr3c2
1024,Rcn1
1025,Lamc2
1026,Slc35f4
1027,Htr1a
1028,9930014A18Rik
1029,Sv2c
1030,Scn3b
1031,Numb
1032,LOC105243130
1033,Lynx1
1034,LOC102638890
1035,Tpd52
1036,Csmd2
1037,Plxna4
1038,Syt5
1039,Gldn
1040,Osbpl10
1041,F730043M19Rik
1042,Pcnxl2
1043,Gjd2
1044,LOC105246327
1045,Matn2
1046,LOC105245295
1047,Skil
1048,Sorcs2
1049,Akap13
1050,Lrrc6
1051,Chst15
1052,Sertm1
1053,1110018N20Rik
1054,Ak3l2-ps
1055,Ldlrad4
1056,LOC105243282
1057,Cpne6
1058,Dpysl5
1059,Flrt3
1060,LOC105247131
1061,Gse1
1062,Fat1
1063,Ccdc155
1064,Pygm
1065,Cit
1066,Ppfia4
1067,Fabp3
1068,Fam196a
1069,LOC105242578
1070,1700007K13Rik
1071,Sec14l2
1072,Olfml2b
1073,Ostf1
1074,Slc35f1
1075,D630023F18Rik
1076,Tnni3k
1077,Itga8
1078,Fat3
1079,Creb3l2
1080,Ckmt1
1081,Rwdd3
1082,A630023P12Rik
1083,Rnd1
1084,Gdf10
1085,Pcdh7
1086,Adam11
1087,Sema4g
1088,2510009E07Rik
1089,Wnt7a
1090,Gucy2g
1091,Myzap
1092,LOC102636700
1093,Rassf3
1094,Tmem215
1095,H2-M3
1096,LOC102643175
1097,Akr1c18
1098,Kcnk4
1099,Skap1
1100,Kcnk3
1101,Homer2
1102,Prr5
1103,Pde1b
1104,Htr2a
1105,C530008M17Rik
1106,Zfp804b
1107,4933412E12Rik
1108,Tspan13
1109,Kcnk12
1110,Tmem158
1111,Nefh
1112,Epha3
1113,Npas2
1114,1700001O22Rik
1115,Eepd1
1116,Cbfa2t3
1117,Ankrd63
